# ind =     1, ny =  2000, ndof =     5, ymax =  2.3387059397936E+01
 0.0000000000000E+00 -5.4960270378351E-11  7.3648896218913E-01  0.0000000000000E+00  3.3960754006700E-01  1.0400794443238E-10
 1.5864586744063E+00  7.2597146615490E-03  1.3952624787445E-01  0.0000000000000E+00  2.3708995645556E-01 -7.3553392183459E-03
 1.5982218340745E+00  7.2092655727160E-03  1.3718348339280E-01  0.0000000000000E+00  2.3533642631650E-01 -7.3029744245803E-03
 1.6099839898107E+00  7.1583903779725E-03  1.3487039265354E-01  0.0000000000000E+00  2.3357496689442E-01 -7.2502046928073E-03
 1.6217451489536E+00  7.1071049058632E-03  1.3258678874573E-01  0.0000000000000E+00  2.3180589795634E-01 -7.1970461398284E-03
 1.6335053188938E+00  7.0554248545631E-03  1.3033248242039E-01  0.0000000000000E+00  2.3002954104867E-01 -7.1435147318583E-03
 1.6452645070710E+00  7.0033657933786E-03  1.2810728216412E-01  0.0000000000000E+00  2.2824621933865E-01 -7.0896262867242E-03
 1.6570227209722E+00  6.9509431645018E-03  1.2591099427289E-01  0.0000000000000E+00  2.2645625745552E-01 -7.0353964757792E-03
 1.6687799681294E+00  6.8981722842829E-03  1.2374342292501E-01  0.0000000000000E+00  2.2465998133231E-01 -6.9808408256897E-03
 1.6805362561177E+00  6.8450683444083E-03  1.2160437025406E-01  0.0000000000000E+00  2.2285771804740E-01 -6.9259747198282E-03
 1.6922915925528E+00  6.7916464127425E-03  1.1949363642111E-01  0.0000000000000E+00  2.2104979566657E-01 -6.8708134001265E-03
 1.7040459850892E+00  6.7379214344808E-03  1.1741101968686E-01  0.0000000000000E+00  2.1923654308557E-01 -6.8153719678708E-03
 1.7157994414182E+00  6.6839082325990E-03  1.1535631648331E-01  0.0000000000000E+00  2.1741828987315E-01 -6.7596653848485E-03
 1.7275519692654E+00  6.6296215082494E-03  1.1332932148468E-01  0.0000000000000E+00  2.1559536611463E-01 -6.7037084746795E-03
 1.7393035763892E+00  6.5750758413417E-03  1.1132982767824E-01  0.0000000000000E+00  2.1376810225636E-01 -6.6475159229086E-03
 1.7510542705785E+00  6.5202856907254E-03  1.0935762643474E-01  0.0000000000000E+00  2.1193682895101E-01 -6.5911022780896E-03
 1.7628040596507E+00  6.4652653941309E-03  1.0741250757791E-01  0.0000000000000E+00  2.1010187690381E-01 -6.5344819521775E-03
 1.7745529514498E+00  6.4100291679816E-03  1.0549425945389E-01  0.0000000000000E+00  2.0826357671955E-01 -6.4776692205976E-03
 1.7863009538444E+00  6.3545911075392E-03  1.0360266900020E-01  0.0000000000000E+00  2.0642225875123E-01 -6.4206782225461E-03
 1.7980480747259E+00  6.2989651861045E-03  1.0173752181358E-01  0.0000000000000E+00  2.0457825294959E-01 -6.3635229611448E-03
 1.8097943220065E+00  6.2431652548786E-03  9.9898602218263E-02  0.0000000000000E+00  2.0273188871387E-01 -6.3062173031576E-03
 1.8215397036171E+00  6.1872050422501E-03  9.8085693332808E-02  0.0000000000000E+00  2.0088349474450E-01 -6.2487749788859E-03
 1.8332842275058E+00  6.1310981528611E-03  9.6298577136801E-02  0.0000000000000E+00  1.9903339889657E-01 -6.1912095818332E-03
 1.8450279016358E+00  6.0748580672153E-03  9.4537034537286E-02  0.0000000000000E+00  1.9718192803561E-01 -6.1335345680313E-03
 1.8567707339836E+00  6.0184981404738E-03  9.2800845433722E-02  0.0000000000000E+00  1.9532940789467E-01 -6.0757632558929E-03
 1.8685127325372E+00  5.9620316013434E-03  9.1089788783320E-02  0.0000000000000E+00  1.9347616293303E-01 -6.0179088252437E-03
 1.8802539052944E+00  5.9054715511432E-03  8.9403642665089E-02  0.0000000000000E+00  1.9162251619717E-01 -5.9599843167189E-03
 1.8919942602608E+00  5.8488309626651E-03  8.7742184343617E-02  0.0000000000000E+00  1.8976878918339E-01 -5.9020026308628E-03
 1.9037338054484E+00  5.7921226786564E-03  8.6105190332235E-02  0.0000000000000E+00  1.8791530170254E-01 -5.8439765271445E-03
