# ind =     1, ny =  2000, ndof =     5, ymax =  2.3387059397936E+01
 0.0000000000000E+00  9.8231827111984E-01  0.0000000000000E+00  0.0000000000000E+00  0.0000000000000E+00  1.0180000000000E+00
 1.5629293141902E+00  9.9330639307663E-01  7.8518622816757E-01  0.0000000000000E+00 -9.5444383713776E-02  1.0067387132208E+00
 1.5746945035212E+00  9.9339268527340E-01  7.8837085224701E-01  0.0000000000000E+00 -9.4640689473159E-02  1.0066512617060E+00
 1.5864586744063E+00  9.9347838438830E-01  7.9152085632358E-01  0.0000000000000E+00 -9.3831686043255E-02  1.0065644262766E+00
 1.5982218340745E+00  9.9356348528040E-01  7.9463642745969E-01  0.0000000000000E+00 -9.3017692881416E-02  1.0064782118254E+00
 1.6099839898107E+00  9.9364798299794E-01  7.9771775373384E-01  0.0000000000000E+00 -9.2199025190472E-02  1.0063926230524E+00
 1.6217451489536E+00  9.9373187277673E-01  8.0076502423608E-01  0.0000000000000E+00 -9.1375993884250E-02  1.0063076644666E+00
 1.6335053188938E+00  9.9381515003839E-01  8.0377842906284E-01  0.0000000000000E+00 -9.0548905555029E-02  1.0062233403882E+00
 1.6452645070710E+00  9.9389781038883E-01  8.0675815931109E-01  0.0000000000000E+00 -8.9718062442930E-02  1.0061396549498E+00
 1.6570227209722E+00  9.9397984961657E-01  8.0970440707186E-01  0.0000000000000E+00 -8.8883762407247E-02  1.0060566120991E+00
 1.6687799681294E+00  9.9406126369117E-01  8.1261736542311E-01  0.0000000000000E+00 -8.8046298899701E-02  1.0059742155999E+00
 1.6805362561177E+00  9.9414204876165E-01  8.1549722842192E-01  0.0000000000000E+00 -8.7205960939617E-02  1.0058924690346E+00
 1.6922915925528E+00  9.9422220115495E-01  8.1834419109602E-01  0.0000000000000E+00 -8.6363033091013E-02  1.0058113758055E+00
 1.7040459850892E+00  9.9430171737438E-01  8.2115844943471E-01  0.0000000000000E+00 -8.5517795441593E-02  1.0057309391365E+00
 1.7157994414182E+00  9.9438059409808E-01  8.2394020037908E-01  0.0000000000000E+00 -8.4670523583635E-02  1.0056511620754E+00
 1.7275519692654E+00  9.9445882817750E-01  8.2668964181153E-01  0.0000000000000E+00 -8.3821488596768E-02  1.0055720474951E+00
 1.7393035763892E+00  9.9453641663586E-01  8.2940697254474E-01  0.0000000000000E+00 -8.2970957032612E-02  1.0054935980953E+00
 1.7510542705785E+00  9.9461335666671E-01  8.3209239230986E-01  0.0000000000000E+00 -8.2119190901288E-02  1.0054158164046E+00
 1.7628040596507E+00  9.9468964563232E-01  8.3474610174419E-01  0.0000000000000E+00 -8.1266447659769E-02  1.0053387047819E+00
 1.7745529514498E+00  9.9476528106226E-01  8.3736830237805E-01  0.0000000000000E+00 -8.0412980202066E-02  1.0052622654182E+00
 1.7863009538444E+00  9.9484026065187E-01  8.3995919662113E-01  0.0000000000000E+00 -7.9559036851237E-02  1.0051865003380E+00
 1.7980480747259E+00  9.9491458226072E-01  8.4251898774819E-01  0.0000000000000E+00 -7.8704861353183E-02  1.0051114114015E+00
 1.8097943220065E+00  9.9498824391114E-01  8.4504787988401E-01  0.0000000000000E+00 -7.7850692872250E-02  1.0050370003058E+00
 1.8215397036171E+00  9.9506124378671E-01  8.4754607798791E-01  0.0000000000000E+00 -7.6996765988583E-02  1.0049632685869E+00
 1.8332842275058E+00  9.9513358023070E-01  8.5001378783742E-01  0.0000000000000E+00 -7.6143310697236E-02  1.0048902176210E+00
 1.8450279016358E+00  9.9520525174461E-01  8.5245121601157E-01  0.0000000000000E+00 -7.5290552409011E-02  1.0048178486267E+00
